FALSE_DATA,ageAtBirth,ageAtQ,ethnicity,marital,rural,edu,occClass,income,imd,home,belief,identity,identity_denom,attend,lca,climateChanging,climateConcern,climateHumans,climateAction,travel,waste,energy,buy,airTravel,elecCar,localFood,recycle,plastic,sustainable,insulation,solar,veg,trees,avoidFossil,children,otherAction,meatDairy,totalActions,totalActions_reduced
FALSE_DATA,28,58,White,Married,Rural,Degree,II,>400,Quin. 1/Least deprived,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,Other,Climate,Climate,No,No,No,No,Climate,Climate,No,Climate,No,No,No,No,No,No,No,5,4
FALSE_DATA,36,66,White,Married,Urban,A level,III (non-manual),200 - 299,Quin. 1/Least deprived,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Somewhat concerned,"Yes, for most of it",No,No,Other,Other,No,No,Other,No,Other,Climate,Climate,No,No,No,No,No,No,No,No,2,2
FALSE_DATA,31,61,White,Never married,Urban,O level,III (manual),200 - 299,Quintile 3,Owned/Mortgaged,No,Christian,CofE,Occasional/None,Atheist,Yes probably,Somewhat concerned,"Yes, for most of it",Yes,No,Climate,No,Climate,No,No,Climate,Climate,Climate,Climate,No,No,Climate,No,No,No,No,Climate,8,7
FALSE_DATA,26,56,White,Married,Urban,A level,IV/V,200 - 299,Quintile 4,Owned/Mortgaged,Yes,Christian,CofE,Occasional/None,Agnostic,Yes probably,Somewhat concerned,"Yes, for some of it",Yes,Climate,Climate,Other,No,Other,No,No,Climate,Climate,No,Other,No,No,No,No,No,No,No,4,4
FALSE_DATA,30,60,White,Married,Urban,Degree,II,>400,Quin. 1/Least deprived,Owned/Mortgaged,Not sure,None,None,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for most of it",Yes,Climate,Climate,No,Climate,Climate,Climate,Climate,Climate,Climate,Climate,No,Climate,Climate,Climate,Climate,No,NA,Other,13,9
FALSE_DATA,34,64,White,Married,Urban,O level,IV/V,300 - 399,Quintile 2,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",Yes,Other,Climate,Climate,Climate,Climate,ClimateOther,Climate,Climate,Climate,No,Other,No,Other,No,Other,No,No,Other,8,6
FALSE_DATA,32,61,White,Never married,Urban,A level,III (manual),>400,Quin. 1/Least deprived,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for some of it",Not sure,No,Other,Other,NA,No,No,No,Other,Other,No,No,No,No,No,No,No,No,Other,NA,NA
FALSE_DATA,30,60,White,Married,Urban,A level,III (manual),>400,Quintile 3,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for some of it",Yes,Other,Climate,No,Other,Other,No,Other,Other,Other,Other,No,No,Other,Other,No,No,Climate,No,1,1
FALSE_DATA,32,62,White,Married,Urban,A level,II,>400,Quintile 4,Owned/Mortgaged,Yes,Christian,Other,Regular,Highly religious,Yes definitely,Very concerned,"Yes, for most of it",Yes,No,Climate,Climate,Climate,No,No,Climate,Climate,Climate,Climate,Climate,No,No,No,No,No,NA,Other,8,7
FALSE_DATA,25,56,White,Married,Rural,CSE/None,III (manual),300 - 399,Quintile 3,Owned/Mortgaged,Yes,Christian,CofE,Occasional/None,Atheist,Yes probably,Not very concerned,"Yes, for some of it",No,No,No,No,No,NA,No,No,No,No,No,Other,No,No,No,No,No,No,No,NA,0
FALSE_DATA,38,67,White,Married,Urban,O level,II,>400,Quin. 1/Least deprived,Rented,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,NA,Not sure,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,No,Climate,No,NA,No,NA,NA,NA,NA
FALSE_DATA,29,59,White,Married,Rural,Degree,II,300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for most of it",Yes,NA,Other,Other,No,No,No,Climate,Climate,No,ClimateOther,Other,No,Other,Other,No,No,No,ClimateOther,NA,NA
FALSE_DATA,32,61,White,Married,Rural,Degree,I,>400,Quintile 2,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for all of it",No,No,Climate,Other,Climate,Other,No,Other,Other,Climate,ClimateOther,Other,No,No,No,No,No,NA,No,4,4
FALSE_DATA,32,63,White,Married,Urban,Degree,I,>400,Quintile 2,Owned/Mortgaged,Yes,Christian,CofE,Occasional/None,Moderately religious,Yes definitely,Very concerned,"Yes, for most of it",Yes,Climate,Climate,Climate,Climate,No,Climate,Climate,Climate,Climate,Climate,No,No,No,No,No,No,No,Climate,10,9
FALSE_DATA,44,74,White,Married,Urban,Degree,III (non-manual),300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for most of it",No,Other,Other,No,No,Other,No,No,Climate,No,No,No,No,No,No,No,No,NA,Other,1,1
FALSE_DATA,33,62,White,Married,Urban,O level,II,>400,Quintile 2,Owned/Mortgaged,Yes,Christian,Other,Occasional/None,Moderately religious,Yes maybe,Not very concerned,"Yes, for some of it",No,No,Other,Other,Other,No,No,Other,Other,Other,Other,Other,No,Other,No,No,No,NA,No,0,0
FALSE_DATA,32,61,White,Married,Urban,A level,I,>400,Quintile 2,Owned/Mortgaged,Not sure,None,None,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for most of it",Not sure,Climate,No,Other,No,No,No,Other,No,No,No,No,No,Other,Other,No,No,No,No,1,1
FALSE_DATA,29,59,White,Married,Urban,A level,I,>400,Quintile 2,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",Yes,Climate,Climate,Climate,Climate,No,No,Climate,Climate,Climate,Climate,Climate,No,No,Climate,Climate,No,NA,ClimateOther,12,11
FALSE_DATA,27,57,White,Married,Rural,A level,II,200 - 299,Quin. 1/Least deprived,Owned/Mortgaged,No,Christian,CofE,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,No,Climate,Other,Climate,No,Climate,Climate,Climate,Climate,Climate,No,Other,No,Climate,No,No,No,No,8,7
FALSE_DATA,30,59,White,Married,Rural,Degree,III (manual),200 - 299,Quintile 2,Rented,Not sure,None,None,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for most of it",Not sure,Climate,Climate,Climate,Climate,Climate,No,Climate,Climate,Climate,Climate,No,No,Climate,No,No,No,No,ClimateOther,11,9
FALSE_DATA,36,67,White,Married,Urban,O level,III (non-manual),200 - 299,Quintile 2,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",Yes,No,Climate,No,No,No,No,Other,Climate,Other,Other,No,No,No,No,No,No,No,No,2,2
FALSE_DATA,36,66,White,Married,Urban,A level,III (non-manual),>400,Quin. 1/Least deprived,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",Yes,Other,Other,Climate,Climate,No,No,Climate,Climate,Climate,Climate,Climate,Climate,Climate,No,No,No,NA,No,9,6
FALSE_DATA,28,59,White,Married,Urban,Degree,II,300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,Yes,Christian,CofE,Regular,Highly religious,Yes definitely,Somewhat concerned,"Yes, for all of it",Yes,Other,Other,Climate,Other,Other,No,Climate,Climate,Climate,ClimateOther,No,No,No,No,No,No,No,Other,5,5
FALSE_DATA,26,57,White,Married,Urban,Degree,II,>400,Quintile 3,Owned/Mortgaged,Not sure,Christian,Other,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for most of it",Yes,Other,Climate,No,Climate,Other,No,No,Climate,Climate,No,No,No,No,Climate,No,No,NA,Climate,6,6
FALSE_DATA,48,82,White,Never married,Rural,Degree,I,>400,Quintile 2,Owned/Mortgaged,Yes,Christian,CofE,Regular,Highly religious,Yes probably,Somewhat concerned,"Yes, for most of it",No,No,No,Other,No,Other,No,No,No,No,Climate,No,No,No,No,No,No,No,Other,1,1
FALSE_DATA,31,60,White,Married,Urban,A level,III (manual),200 - 299,Quintile 3,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Probably not,NA,"Yes, for some of it",Yes,Other,Climate,No,No,No,No,No,Climate,No,No,No,No,No,No,No,No,NA,No,2,2
FALSE_DATA,32,62,White,Married,Rural,Degree,I,>400,Quintile 2,Owned/Mortgaged,Not sure,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for some of it",Yes,Climate,Other,Climate,Climate,Other,No,NA,ClimateOther,No,ClimateOther,No,Other,No,No,No,No,No,ClimateOther,NA,NA
FALSE_DATA,35,64,White,Married,Urban,A level,II,>400,Quin. 1/Least deprived,Owned/Mortgaged,Yes,Christian,CofE,Occasional/None,Agnostic,Yes maybe,Somewhat concerned,"Yes, for some of it",Yes,Climate,Climate,Climate,No,No,Climate,Climate,Climate,Climate,Climate,No,No,Other,Other,No,No,No,Other,8,7
FALSE_DATA,27,58,White,Married,Urban,O level,IV/V,300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes probably,Somewhat concerned,"Yes, for some of it",No,No,Other,Other,No,No,No,Other,Other,Other,No,Other,No,Other,No,No,No,No,Other,0,0
FALSE_DATA,30,60,White,Sep/Div/Widow,Urban,A level,I,200 - 299,Quin. 1/Least deprived,Owned/Mortgaged,Yes,Christian,Catholic,Occasional/None,Agnostic,Yes definitely,Not very concerned,"Yes, for most of it",Yes,Climate,ClimateOther,ClimateOther,Other,No,No,Other,ClimateOther,Climate,No,No,No,No,No,No,No,No,No,5,5
FALSE_DATA,28,57,White,Married,Urban,CSE/None,III (manual),200 - 299,Quintile 2,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Atheist,Definitely not,NA,"Yes, for some of it",Yes,No,Climate,No,No,No,No,Other,Climate,Other,Other,No,No,No,No,No,No,NA,Climate,3,3
FALSE_DATA,26,55,White,Married,Urban,Degree,II,300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for all of it",Yes,ClimateOther,ClimateOther,ClimateOther,Climate,Climate,No,Climate,Climate,Climate,Climate,Climate,NA,Other,Other,Climate,No,NA,Climate,NA,10
FALSE_DATA,26,56,White,Married,Urban,CSE/None,IV/V,200 - 299,Quintile 2,Owned/Mortgaged,No,Christian,CofE,Occasional/None,Atheist,Yes probably,Somewhat concerned,"Yes, for most of it",Yes,Climate,Climate,ClimateOther,No,Climate,Climate,Climate,Climate,Climate,No,No,No,Other,Climate,No,No,NA,No,9,7
FALSE_DATA,26,56,Other than White,Married,Urban,A level,II,200 - 299,Quin. 1/Least deprived,Owned/Mortgaged,Yes,Christian,Other,Regular,Moderately religious,Yes definitely,Very concerned,"Yes, for most of it",Yes,No,Climate,Other,Climate,No,No,Other,Climate,Climate,Climate,Other,No,No,No,No,No,No,Other,5,5
FALSE_DATA,26,55,White,Married,Urban,Degree,I,300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",Yes,Climate,Climate,Climate,Climate,Other,Climate,No,Climate,Climate,Climate,Other,Other,No,No,Climate,No,No,ClimateOther,10,9
FALSE_DATA,29,58,White,Married,Rural,Degree,I,>400,Quin. 1/Least deprived,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",Yes,Climate,No,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,No,Climate,No,No,Other,13,8
FALSE_DATA,37,67,White,Married,Urban,A level,III (non-manual),>400,Quin. 1/Least deprived,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Somewhat concerned,"Yes, for some of it",Yes,No,Other,Other,No,Climate,No,No,Other,Other,No,No,No,No,No,No,No,NA,Other,1,0
FALSE_DATA,40,70,White,Married,Urban,Vocational,III (manual),200 - 299,Quin. 1/Least deprived,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",Yes,Climate,Climate,Climate,Climate,Climate,No,Other,Climate,Other,Climate,No,No,Other,Other,Climate,No,NA,Climate,9,8
FALSE_DATA,31,61,White,Married,Urban,A level,II,200 - 299,Quintile 4,Owned/Mortgaged,Yes,Christian,CofE,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",Yes,Other,NA,No,No,Other,No,No,Climate,Climate,Other,No,No,No,No,No,No,No,No,NA,NA
FALSE_DATA,30,59,White,Married,Urban,A level,IV/V,200 - 299,Quintile 2,Rented,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",Yes,Climate,Climate,Climate,Climate,Climate,No,Climate,Climate,Climate,Climate,No,No,Climate,No,ClimateOther,No,No,Climate,12,10
FALSE_DATA,28,59,White,Married,Urban,CSE/None,III (non-manual),200 - 299,Quin. 1/Least deprived,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes probably,Very concerned,"Yes, for all of it",Yes,No,Climate,Other,Climate,Other,No,No,Climate,Other,No,Other,No,No,No,Climate,No,No,Other,4,4
FALSE_DATA,32,62,White,Sep/Div/Widow,Urban,Degree,II,200 - 299,Quintile 2,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",Yes,No,Other,Climate,ClimateOther,Climate,Other,No,Other,Climate,No,No,No,No,No,No,No,NA,ClimateOther,5,4
FALSE_DATA,47,79,White,Married,Rural,Degree,III (manual),300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",Yes,No,Climate,Climate,No,Climate,No,No,Climate,Climate,No,Climate,Climate,Other,No,Climate,No,NA,No,8,5
FALSE_DATA,35,65,White,Married,Urban,Degree,I,300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,No,No,No,No,Other,No,No,No,No,No,No,No,No,Other,No,No,NA,ClimateOther,1,1
FALSE_DATA,28,58,White,Married,Urban,Degree,II,>400,Quin. 1/Least deprived,Owned/Mortgaged,Not sure,None,None,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for most of it",Yes,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,No,No,No,Climate,No,NA,Climate,13,10
FALSE_DATA,30,60,White,Married,Urban,O level,II,300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,Not sure,None,None,Occasional/None,Agnostic,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,Climate,No,No,No,No,No,No,Other,No,Climate,Climate,No,No,No,No,No,No,No,3,2
FALSE_DATA,29,59,White,Sep/Div/Widow,Urban,CSE/None,IV/V,100 - 199,Quintile 4,Owned/Mortgaged,No,Christian,CofE,Occasional/None,Atheist,Yes probably,Somewhat concerned,"Yes, for most of it",No,No,Other,Other,Other,No,No,Other,Other,Other,Other,Other,No,No,No,Climate,No,No,No,1,1
FALSE_DATA,43,73,White,Married,Urban,Degree,III (manual),300 - 399,Quin. 1/Least deprived,Rented,Yes,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for most of it",Yes,No,Climate,Climate,No,Other,No,No,Climate,No,No,No,No,No,No,No,No,NA,No,3,3
FALSE_DATA,42,72,White,Married,Rural,A level,II,300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",Yes,No,No,No,Climate,Other,No,Other,Other,Other,Climate,No,No,Other,Climate,Climate,No,No,No,4,4
FALSE_DATA,40,70,White,Married,Rural,Degree,III (manual),200 - 299,Quintile 4,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Highly religious,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,Other,Other,No,Other,Other,No,Other,Other,Other,No,Climate,No,ClimateOther,No,No,No,No,No,2,0
FALSE_DATA,43,72,White,Married,Rural,O level,III (non-manual),200 - 299,Quintile 2,Owned/Mortgaged,Yes,Christian,CofE,Occasional/None,Moderately religious,Yes definitely,Very concerned,"Yes, for most of it",Yes,No,Climate,Other,Other,No,No,No,Climate,Climate,Other,No,No,Climate,Other,No,No,No,No,4,3
FALSE_DATA,27,57,White,Never married,Urban,A level,II,300 - 399,Quintile 2,Owned/Mortgaged,No,Christian,CofE,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for some of it",Yes,No,Climate,No,Climate,No,No,Climate,Climate,Climate,No,No,No,No,No,No,No,No,ClimateOther,6,6
FALSE_DATA,39,68,White,Married,Rural,Degree,II,>400,Quintile 2,Owned/Mortgaged,Yes,Christian,CofE,Regular,Highly religious,Yes definitely,Very concerned,"Yes, for some of it",Yes,No,Climate,Climate,No,No,No,NA,Climate,Climate,No,No,Climate,Other,Climate,No,No,No,No,NA,NA
FALSE_DATA,32,62,White,Married,Urban,CSE/None,II,200 - 299,Quintile 2,Owned/Mortgaged,Yes,Christian,CofE,Occasional/None,Moderately religious,Yes definitely,Very concerned,"Yes, for most of it",Yes,No,ClimateOther,ClimateOther,ClimateOther,No,No,Other,NA,Climate,Other,No,Other,No,No,Climate,No,NA,Other,NA,NA
FALSE_DATA,36,66,White,Married,Urban,O level,IV/V,200 - 299,Quintile 2,Rented,No,Christian,CofE,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",No,No,Other,Other,No,Other,No,Other,Other,Other,Other,Other,No,Other,No,No,No,No,No,0,0
FALSE_DATA,40,70,White,Married,Urban,Degree,I,>400,Quin. 5/Most deprived,Owned/Mortgaged,No,NA,NA,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for all of it",Yes,Climate,Climate,Climate,Climate,No,Climate,No,Climate,Climate,Climate,Other,No,ClimateOther,No,No,No,Climate,ClimateOther,10,8
FALSE_DATA,29,58,White,Married,Rural,Degree,II,>400,Quintile 3,Owned/Mortgaged,Yes,Christian,Other,Occasional/None,Moderately religious,Yes definitely,Somewhat concerned,"Yes, for some of it",Yes,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,Climate,No,Climate,Climate,No,No,No,No,No,12,8
FALSE_DATA,26,57,White,Married,Urban,Vocational,III (manual),200 - 299,Quintile 3,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,No,Other,No,Climate,No,No,No,Other,Other,No,Other,No,No,No,No,No,No,Other,1,1
FALSE_DATA,43,72,White,Married,Urban,A level,II,200 - 299,Quin. 1/Least deprived,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",Yes,Other,Climate,No,Climate,Other,No,Other,Climate,Climate,Climate,No,No,Other,No,No,No,No,No,5,5
FALSE_DATA,30,60,White,Married,Urban,O level,III (manual),200 - 299,Quin. 1/Least deprived,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes probably,Not very concerned,"Yes, for some of it",Not sure,No,Climate,No,No,No,No,No,Climate,No,Climate,No,No,Climate,Other,No,No,NA,Other,4,3
FALSE_DATA,30,61,White,Never married,Urban,O level,III (non-manual),300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",Yes,No,Climate,Climate,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Other,2,2
FALSE_DATA,33,63,White,Married,Urban,A level,II,>400,Quintile 3,Owned/Mortgaged,Yes,Christian,Other,Regular,Highly religious,Yes definitely,Very concerned,"Yes, for most of it",Yes,Other,Climate,Climate,No,Other,No,Other,Climate,Climate,Climate,No,Other,Other,Other,No,No,NA,Other,5,5
FALSE_DATA,39,68,White,Married,Urban,Degree,I,>400,Quin. 1/Least deprived,Owned/Mortgaged,Yes,Christian,CofE,Occasional/None,Moderately religious,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,Climate,Climate,Climate,Climate,Climate,No,Climate,Climate,Climate,Climate,Climate,No,No,Climate,No,No,NA,No,11,9
FALSE_DATA,30,60,White,Married,Urban,A level,II,300 - 399,Quintile 3,Owned/Mortgaged,Yes,Christian,CofE,Regular,Highly religious,Yes definitely,Somewhat concerned,"Yes, for all of it",Yes,NA,Climate,Climate,ClimateOther,No,No,ClimateOther,Climate,No,ClimateOther,No,No,No,No,No,No,No,No,NA,NA
FALSE_DATA,42,72,White,Married,Urban,Degree,II,300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Moderately religious,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,No,Other,Other,No,Other,No,No,Climate,No,No,Other,No,No,Other,No,No,No,No,1,1
FALSE_DATA,31,60,White,Married,Rural,A level,III (non-manual),300 - 399,Quin. 1/Least deprived,Owned/Mortgaged,Yes,Christian,CofE,Occasional/None,Moderately religious,Yes definitely,Very concerned,"Yes, for some of it",Yes,No,Other,No,No,Other,No,No,Other,Other,No,No,No,Other,No,No,No,No,NA,NA,NA
FALSE_DATA,36,66,White,Married,Urban,Degree,II,>400,Quintile 4,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for all of it",Yes,Climate,Climate,No,Other,Other,No,Other,Climate,Climate,No,No,No,Other,No,ClimateOther,No,NA,Climate,6,6
FALSE_DATA,28,58,White,Married,Urban,CSE/None,III (manual),200 - 299,Quintile 3,Owned/Mortgaged,No,Christian,CofE,Occasional/None,Atheist,Yes probably,Somewhat concerned,"Yes, for all of it",No,No,Other,Other,Other,No,No,Other,Other,Other,Other,Climate,Climate,No,No,Climate,No,Other,No,3,1
FALSE_DATA,33,62,White,Married,Urban,A level,III (manual),200 - 299,Quin. 1/Least deprived,Owned/Mortgaged,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes maybe,Somewhat concerned,"Yes, for some of it",Not sure,Other,Other,Climate,Other,No,No,Other,Other,No,No,Other,No,Other,Other,No,No,NA,Other,1,1
FALSE_DATA,26,56,White,Married,Urban,Degree,II,>400,Quin. 1/Least deprived,Owned/Mortgaged,Not sure,None,None,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for most of it",Yes,Climate,Climate,Climate,Climate,Climate,Climate,Climate,ClimateOther,Climate,Climate,Climate,No,No,Climate,Climate,No,NA,Climate,14,11
FALSE_DATA,22,50,White,Married,Rural,A level,III (non-manual),200 - 299,Quintile 3,Owned/Mortgaged,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",No,No,Other,Other,No,Other,No,Other,Other,Other,No,Other,No,Other,Other,No,No,NA,Other,0,0
