FALSE_DATA,ageAtQ,sex,ethnicity,relationship,rural,edu,occClass,income,imd,home,politics_PCA1,politics_PCA2,belief,identity,identity_denom,attend,lca,climateChanging,climateConcern,climateHumans,climateAction,travel,waste,energy,buy,airTravel,elecCar,localFood,recycle,plastic,sustainable,insulation,solar,veg,trees,avoidFossil,children,otherAction,meatDairy,totalActions,totalActions_reduced
FALSE_DATA,30,Female,White,Yes,Urban,Degree,Manager/Prof,£1500-£1999,Quintile 3,Owned/Mortgaged,-0.06586086589847603,0.4628299856875849,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,Other,Climate,No,Climate,Other,No,Climate,Climate,Climate,Climate,No,No,No,No,No,No,No,Climate,7,7
FALSE_DATA,29,Male,White,Yes,Urban,Degree,Manager/Prof,£500-£999,Quintile 4,Rented,0.13545165273645277,0.04236742747349617,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",Not sure,Other,Climate,No,Climate,No,No,Other,Climate,Climate,No,ClimateOther,No,No,No,No,Other,NA,Other,5,4
FALSE_DATA,29,Female,White,No,Urban,A level,Intermediate,£1000-£1499,Quin. 1/Least deprived,Owned/Mortgaged,1.2141257186330223,-0.6542237616079019,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",Not sure,Other,Climate,Climate,ClimateOther,No,No,ClimateOther,ClimateOther,No,No,No,No,ClimateOther,No,No,ClimateOther,No,No,7,6
FALSE_DATA,29,Female,White,Yes,Urban,GCSE,Intermediate,£1000-£1499,Quin. 5/Most deprived,Owned/Mortgaged,-1.0919524659065714,-0.5497258054128853,No,None,None,Occasional/None,Atheist,Yes maybe,Not at all concerned,"Yes, for some of it",Not sure,No,No,No,No,No,No,No,No,No,ClimateOther,No,No,Other,No,No,Other,No,No,1,1
FALSE_DATA,29,Male,White,Yes,Urban,A level,Manager/Prof,<£500,Quintile 2,Rented,0.43907739809763113,-0.5834759626938724,Not sure,Christian,CofE,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",Yes,No,Climate,Climate,NA,No,Other,Other,Other,Climate,No,No,No,No,No,Climate,No,No,Other,NA,NA
FALSE_DATA,31,Female,White,No,Urban,Degree,Intermediate,£1000-£1499,Quintile 3,Other,-0.6155198808116933,-0.8499056727968848,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,No,Climate,Climate,Climate,No,No,Climate,Climate,Climate,Climate,No,No,No,No,No,No,No,Other,7,7
FALSE_DATA,30,Female,White,Yes,Urban,PostGrad,Routine,£1500-£1999,Quin. 1/Least deprived,Owned/Mortgaged,-0.06586086589847603,-1.771028704483487,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",Yes,No,Climate,No,Climate,No,No,No,Other,Climate,Climate,No,No,No,No,No,No,NA,No,4,4
FALSE_DATA,29,Male,White,No,Urban,A level,Manager/Prof,£1500-£1999,Quintile 3,Owned/Mortgaged,1.4063629865755942,0.23429159882893735,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for all of it",Yes,No,Climate,No,Climate,No,No,Climate,Climate,Climate,Climate,No,No,Other,No,No,No,No,Other,6,6
FALSE_DATA,30,Male,White,No,Rural,A level,Intermediate,£1000-£1499,Quintile 4,Owned/Mortgaged,-0.367307785099544,-0.149565858869913,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Somewhat concerned,"Yes, for all of it",Yes,No,Climate,Climate,ClimateOther,No,No,ClimateOther,ClimateOther,ClimateOther,ClimateOther,No,No,No,No,No,No,No,Climate,8,8
FALSE_DATA,30,Male,White,Yes,Rural,A level,Manager/Prof,>£2000,Quintile 3,Owned/Mortgaged,0.04833779368084448,-1.167697147041315,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",Yes,Climate,Climate,Climate,Climate,No,No,No,Climate,Climate,Climate,No,No,No,No,No,No,No,No,7,7
FALSE_DATA,29,Male,White,No,Urban,GCSE,Routine,<£500,Quintile 2,Rented,-0.39069069159635916,-0.6937860264404978,Yes,Christian,Other,Regular,Highly religious,Yes definitely,Somewhat concerned,"Yes, for some of it",Yes,Climate,Climate,Climate,Climate,Other,No,Climate,Climate,Climate,No,No,No,No,No,No,No,No,NA,NA,NA
FALSE_DATA,30,Female,White,Yes,Urban,A level,Manager/Prof,>£2000,Quintile 3,Owned/Mortgaged,1.1930134975809779,-0.19871016502688402,No,None,None,Occasional/None,Atheist,Yes probably,Somewhat concerned,"Yes, for some of it",Yes,No,No,No,Climate,NA,No,Climate,ClimateOther,ClimateOther,ClimateOther,No,No,No,No,No,No,No,No,NA,5
FALSE_DATA,29,Male,White,Yes,Urban,A level,Routine,£1000-£1499,Quintile 4,Rented,0.3276889206790242,0.9308827879103354,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",Not sure,Other,Other,No,Climate,No,No,No,Climate,No,No,No,No,No,No,No,No,NA,ClimateOther,3,3
FALSE_DATA,29,Male,White,No,Urban,A level,Manager/Prof,£1500-£1999,Quin. 1/Least deprived,Owned/Mortgaged,0.5505577348008979,1.0617580811160439,Not sure,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,No,Climate,No,No,No,No,No,Climate,No,No,No,No,No,No,No,No,No,Other,2,2
FALSE_DATA,31,Female,White,No,Urban,Degree,Intermediate,>£2000,Quintile 3,Council/HA,-0.7417555107507015,0.664453077807323,Not sure,None,None,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for most of it",Yes,Other,ClimateOther,NA,Other,No,No,Other,ClimateOther,Climate,No,No,No,No,No,Climate,ClimateOther,No,Other,NA,NA
FALSE_DATA,30,Male,White,Yes,Urban,Degree,Intermediate,£1500-£1999,Quintile 2,Owned/Mortgaged,0.6830584332715499,-0.7625872220884138,Not sure,None,None,Occasional/None,Agnostic,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,No,No,No,No,No,Climate,Other,No,Climate,Other,No,No,Other,No,No,No,No,ClimateOther,3,2
FALSE_DATA,29,Female,White,Yes,Urban,PostGrad,Manager/Prof,<£500,Quintile 2,Rented,-0.5891930280705743,-1.184350661388445,Not sure,Christian,CofE,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",Yes,No,Climate,Climate,Climate,No,No,Climate,Climate,Climate,Climate,No,No,No,No,NA,No,No,NA,NA,NA
FALSE_DATA,29,Female,White,Yes,Urban,A level,Manager/Prof,£1500-£1999,Quintile 4,Rented,-0.7417555107507015,0.2089394812263051,No,None,None,Occasional/None,Atheist,Yes probably,Very concerned,"Yes, for some of it",No,Other,Climate,Climate,Climate,No,No,Climate,Climate,Climate,Climate,No,No,No,No,No,No,NA,No,7,7
FALSE_DATA,30,Female,White,Yes,Urban,A level,Manager/Prof,£1000-£1499,Quin. 1/Least deprived,Owned/Mortgaged,-2.3842657114581707,-1.8897573331652673,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for all of it",Yes,Climate,Climate,Climate,Climate,No,No,Climate,Climate,Climate,Climate,No,No,Climate,Climate,No,No,No,No,10,9
FALSE_DATA,29,Female,White,No,Urban,A level,Manager/Prof,£1000-£1499,Quin. 1/Least deprived,Owned/Mortgaged,-0.502079169014966,0.36505912758269216,Yes,Christian,Other,Regular,Highly religious,Yes definitely,Somewhat concerned,"Yes, for some of it",Not sure,No,Climate,Climate,Climate,Other,No,Climate,Climate,Climate,Climate,No,No,ClimateOther,No,No,No,No,Climate,9,8
FALSE_DATA,30,Female,White,No,Urban,Degree,Manager/Prof,£1000-£1499,Quintile 2,Rented,-0.9028775952749534,0.33000808921576286,No,None,None,Occasional/None,NA,Yes definitely,Somewhat concerned,"Yes, for all of it",Yes,No,Climate,Other,Climate,No,No,ClimateOther,Climate,Climate,ClimateOther,No,No,No,No,No,No,No,Other,6,6
FALSE_DATA,30,Female,White,Yes,Urban,A level,Intermediate,>£2000,Quin. 5/Most deprived,Owned/Mortgaged,0.5505577348008979,1.0617580811160439,Not sure,Christian,Catholic,Occasional/None,Agnostic,Yes probably,Somewhat concerned,"Yes, for some of it",Yes,No,Climate,Other,Climate,Other,No,Climate,Climate,Climate,Climate,No,No,No,No,No,No,No,Climate,7,7
FALSE_DATA,29,Male,White,No,Urban,PostGrad,Routine,£1500-£1999,Quin. 5/Most deprived,Rented,-2.174078619774508,0.21258034161992506,Yes,None,None,Occasional/None,NA,Yes definitely,Very concerned,"Yes, for most of it",Not sure,No,No,Climate,Climate,No,No,Other,ClimateOther,Climate,Other,No,No,No,No,No,No,No,ClimateOther,5,5
FALSE_DATA,30,Female,White,No,Urban,Degree,Manager/Prof,£1500-£1999,Quintile 2,Rented,0.13545165273645277,-0.12990896937896804,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",No,No,Climate,No,Climate,ClimateOther,No,No,ClimateOther,Climate,Climate,No,No,No,No,No,No,NA,ClimateOther,7,6
FALSE_DATA,30,Female,White,Yes,Urban,A level,Manager/Prof,£1500-£1999,Quintile 3,Owned/Mortgaged,1.4063629865755942,0.23429159882893735,Not sure,Christian,CofE,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",Yes,No,Climate,Climate,Climate,ClimateOther,No,No,ClimateOther,Climate,ClimateOther,No,No,No,No,No,No,No,No,7,6
FALSE_DATA,29,Male,White,Yes,Rural,Degree,Routine,£1000-£1499,Quintile 3,Council/HA,1.0816250201623707,-0.34992958551850556,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",No,No,No,No,Other,Other,No,ClimateOther,No,No,No,No,No,Climate,No,No,No,No,No,2,1
FALSE_DATA,30,Female,White,No,Urban,PostGrad,Manager/Prof,£1000-£1499,Quintile 3,Rented,-2.408540329821169,-0.07636120120828402,No,Christian,CofE,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",Not sure,Other,Other,Other,Other,Other,No,Other,Other,Climate,Other,No,No,No,No,No,No,No,No,1,1
FALSE_DATA,30,Female,White,No,Urban,PostGrad,Manager/Prof,£1000-£1499,Quin. 5/Most deprived,Council/HA,-0.7417555107507015,0.7784040019475684,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for all of it",No,ClimateOther,ClimateOther,Other,ClimateOther,ClimateOther,No,Climate,ClimateOther,ClimateOther,No,No,No,Other,No,ClimateOther,Other,No,ClimateOther,9,8
FALSE_DATA,30,Female,White,Yes,Urban,Degree,Intermediate,£1000-£1499,Quin. 5/Most deprived,Owned/Mortgaged,-0.6137573370939859,-0.28044115207562154,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",Not sure,Other,Climate,No,Climate,No,No,No,Climate,Climate,No,Climate,No,Other,No,No,No,No,ClimateOther,6,5
FALSE_DATA,29,Female,White,No,Urban,A level,Intermediate,£1500-£1999,Quintile 3,Rented,-0.39069069159635916,-0.6937860264404978,Yes,Christian,CofE,Regular,Highly religious,Yes definitely,Somewhat concerned,"Yes, for some of it",No,Other,Climate,No,No,Other,No,Other,Other,Climate,Climate,No,No,No,No,No,No,No,No,3,3
FALSE_DATA,30,Female,White,Yes,Urban,Degree,Manager/Prof,£1000-£1499,Quintile 4,Other,0.11433943168440776,-1.2027481854082445,Not sure,None,None,Occasional/None,Moderately religious,Yes definitely,Not very concerned,"Yes, for most of it",Not sure,No,No,No,No,No,ClimateOther,Other,Other,Other,No,Other,No,Other,No,No,Other,NA,No,1,0
FALSE_DATA,30,Female,White,Yes,Urban,A level,Routine,£1000-£1499,Quin. 1/Least deprived,Owned/Mortgaged,1.0816250201623707,0.8601349889963057,Yes,Christian,CofE,Regular,Agnostic,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,Climate,Climate,Climate,No,Other,Climate,No,No,No,No,No,No,No,No,No,No,No,No,4,3
FALSE_DATA,29,Female,White,No,Urban,A level,Manager/Prof,£1000-£1499,Quin. 1/Least deprived,Owned/Mortgaged,-0.502079169014966,0.36505912758269216,No,None,None,Occasional/None,Atheist,Yes probably,Somewhat concerned,"Yes, for most of it",Yes,No,Other,No,No,No,No,Other,No,Other,No,No,No,No,No,No,No,No,No,0,0
FALSE_DATA,30,Male,White,No,Urban,A level,Manager/Prof,<£500,Quin. 1/Least deprived,Owned/Mortgaged,0.1597262710994514,-0.7346953831854939,Not sure,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for all of it",Yes,No,Climate,Climate,Climate,No,No,No,Climate,Climate,No,No,No,No,No,No,No,No,No,5,5
FALSE_DATA,30,Male,White,No,Urban,A level,Intermediate,£500-£999,Quin. 1/Least deprived,Council/HA,0.027225572628799488,-0.12990896937896804,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,No,Climate,Climate,No,No,No,No,Climate,Climate,No,No,No,No,No,No,No,No,No,4,4
FALSE_DATA,29,Female,White,Yes,Urban,A level,Manager/Prof,£1500-£1999,Quintile 4,Owned/Mortgaged,0.6785559084576132,1.160314856380305,Not sure,None,None,Occasional/None,Agnostic,Yes probably,Somewhat concerned,"Yes, for most of it",Yes,No,Climate,Climate,No,No,No,Climate,Climate,Climate,Climate,No,No,No,No,No,No,No,No,6,6
FALSE_DATA,30,Male,White,Yes,Urban,A level,Routine,£1000-£1499,Quintile 3,Owned/Mortgaged,1.0816250201623707,-0.3295854582325925,Not sure,None,None,Occasional/None,NA,Yes definitely,Very concerned,"Yes, for all of it",Not sure,No,No,Climate,No,No,No,No,Other,Other,Other,No,No,No,No,No,No,No,Climate,2,2
FALSE_DATA,30,Male,White,Yes,Urban,A level,Intermediate,£500-£999,Quintile 2,Owned/Mortgaged,0.053262734709505294,-1.167697147041315,Not sure,None,None,Occasional/None,Agnostic,Yes maybe,Not very concerned,"Yes, for some of it",Not sure,No,No,No,No,Other,No,Other,No,No,No,No,No,No,No,No,No,No,No,0,0
FALSE_DATA,30,Female,White,Yes,Urban,PostGrad,Manager/Prof,>£2000,Quintile 4,Owned/Mortgaged,0.3276889206790242,0.9308827879103354,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",No,No,Climate,ClimateOther,Climate,Climate,No,Climate,Climate,Climate,Climate,No,No,No,No,Climate,No,No,ClimateOther,10,9
FALSE_DATA,30,Female,White,Yes,Urban,PostGrad,Intermediate,£1500-£1999,Quin. 1/Least deprived,Owned/Mortgaged,0.5505577348008979,1.0617580811160439,Not sure,None,None,Occasional/None,Agnostic,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,No,Climate,No,Climate,Other,No,No,Climate,Climate,Climate,No,No,No,No,No,No,NA,Climate,6,6
FALSE_DATA,30,Male,White,Yes,Urban,Degree,Manager/Prof,£1000-£1499,Quin. 1/Least deprived,Owned/Mortgaged,0.5748323531638967,-1.2071516474219572,Not sure,None,None,Occasional/None,Agnostic,Yes probably,Somewhat concerned,"Yes, for some of it",Not sure,No,Climate,Other,Climate,No,No,Climate,Climate,No,Climate,Other,No,No,No,No,No,NA,Other,5,5
FALSE_DATA,30,Female,White,Yes,Urban,A level,Manager/Prof,<£500,Quin. 1/Least deprived,Owned/Mortgaged,-1.3581741114500752,0.531631181335501,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for some of it",No,No,No,Climate,No,Other,No,No,Climate,Other,Other,No,Climate,Other,Other,No,No,NA,No,3,2
FALSE_DATA,31,Female,White,No,Urban,PostGrad,Manager/Prof,£1500-£1999,Quin. 1/Least deprived,Rented,-2.408540329821169,-0.8309121791420773,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for all of it",No,Other,ClimateOther,ClimateOther,ClimateOther,Other,No,No,ClimateOther,ClimateOther,ClimateOther,Other,No,No,No,No,No,No,No,6,6
FALSE_DATA,31,Female,White,Yes,Rural,PostGrad,Manager/Prof,£1500-£1999,Quintile 2,Owned/Mortgaged,0.13545165273645277,0.9289361846442219,No,Christian,CofE,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,No,Climate,NA,No,No,No,No,No,Climate,Climate,No,No,No,No,No,No,No,No,NA,NA
FALSE_DATA,30,Female,White,Yes,Urban,Degree,Lower sup/tech,£1000-£1499,Quintile 2,Owned/Mortgaged,-0.08445259545022032,0.04236742747349617,No,None,None,Occasional/None,Atheist,Yes definitely,Not very concerned,"Yes, for most of it",Yes,No,No,No,No,Other,No,Other,No,Climate,No,No,No,No,No,No,No,No,No,1,1
FALSE_DATA,30,Female,White,No,Urban,Degree,Routine,£1000-£1499,Quintile 4,Rented,-0.39069069159635916,-0.6937860264404978,No,None,None,Occasional/None,Agnostic,Yes definitely,Somewhat concerned,"Yes, for all of it",Yes,Other,Climate,Other,Climate,No,No,No,Climate,Climate,Climate,No,No,Other,No,No,No,NA,Other,5,5
FALSE_DATA,29,Female,White,No,Urban,A level,Intermediate,£500-£999,Quintile 3,Owned/Mortgaged,1.2141257186330223,-0.6542237616079019,Yes,Christian,Other,Regular,Highly religious,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,No,Other,Other,No,No,No,Other,No,Other,No,No,No,Other,Climate,Climate,No,NA,No,2,2
FALSE_DATA,29,Female,White,No,Urban,Degree,Manager/Prof,£1500-£1999,Quin. 5/Most deprived,Owned/Mortgaged,-0.528406021756085,1.0974548416631444,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,No,Climate,ClimateOther,No,Other,No,No,Climate,Climate,No,Other,No,No,No,No,No,NA,No,4,4
FALSE_DATA,31,Female,White,Yes,Urban,A level,Routine,£1000-£1499,Quin. 1/Least deprived,Owned/Mortgaged,1.0816250201623707,0.8601349889963057,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,No,Climate,Climate,No,No,No,No,ClimateOther,No,No,No,No,No,No,No,No,No,No,3,3
FALSE_DATA,30,Male,White,No,Urban,A level,Lower sup/tech,£1500-£1999,Quintile 4,Owned/Mortgaged,0.6907935564609242,-0.45260066948816385,No,None,None,Occasional/None,Atheist,Yes definitely,Very concerned,"Yes, for most of it",No,Climate,Climate,Climate,Other,Climate,Climate,Other,Climate,No,No,Other,No,No,No,Climate,No,No,No,7,5
FALSE_DATA,29,Female,White,Yes,Urban,Degree,Manager/Prof,>£2000,Quin. 1/Least deprived,Owned/Mortgaged,0.970144683459104,-0.3295854582325925,Not sure,None,None,Occasional/None,Agnostic,Yes definitely,Somewhat concerned,"Yes, for most of it",Not sure,No,No,Climate,Climate,Other,Other,Other,Climate,No,Climate,No,No,No,No,No,No,No,Other,4,4
FALSE_DATA,30,Female,White,Yes,Urban,A level,Intermediate,£1000-£1499,Quintile 3,Owned/Mortgaged,0.14748862309614041,0.4978810240545141,No,None,None,Occasional/None,Atheist,Yes definitely,Somewhat concerned,"Yes, for most of it",Yes,No,Climate,Other,No,Other,No,No,Climate,Climate,No,Other,No,No,No,No,No,NA,No,3,3
FALSE_DATA,29,Female,White,Yes,Urban,Degree,Intermediate,>£2000,Quin. 1/Least deprived,Rented,-2.4956541888767774,0.379152395372734,Not sure,Christian,CofE,Occasional/None,Agnostic,Yes definitely,Very concerned,"Yes, for all of it",Yes,Climate,ClimateOther,ClimateOther,ClimateOther,Other,No,No,ClimateOther,ClimateOther,ClimateOther,ClimateOther,No,No,No,No,ClimateOther,No,ClimateOther,10,9
FALSE_DATA,29,Male,White,Yes,Urban,A level,Routine,£1000-£1499,Quintile 2,Owned/Mortgaged,0.37307576009406784,-1.3380269406276657,Not sure,None,None,Occasional/None,Agnostic,Definitely not,NA,"Yes, for most of it",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Other,No,No,No,0,0
FALSE_DATA,29,Male,White,No,Urban,Degree,Manager/Prof,>£2000,Quin. 5/Most deprived,Owned/Mortgaged,0.8752957012141215,0.7292596957905972,Yes,None,None,Occasional/None,Highly religious,Yes definitely,Very concerned,"Yes, for all of it",Yes,No,Climate,No,Climate,Other,No,No,Climate,Climate,Climate,No,No,No,No,No,No,NA,Climate,6,6
